t   IR    R    rIR    rRED    H/B   R   IR(AC)   IR(DC)    R(AC)  R(DC)  IR(RAW)  R(RAW)
0.04 17.47 54.32 379.00 1178.27 60.00 0.00 0.00 0.00 0.00 0.00 10961 3601
0.08 112.40 347.31 991.29 3035.68 60.00 0.00 0.00 0.00 0.00 0.00 10947 3621
0.12 297.23 912.67 1483.14 4540.09 60.00 0.00 0.00 0.00 0.00 0.00 10956 3580
0.16 534.48 1638.10 1883.35 5758.53 60.00 0.00 0.00 0.00 0.00 0.00 10952 3580
0.20 798.46 2443.80 2211.20 6745.19 60.00 0.00 0.00 0.00 0.00 0.00 10951 3580
0.24 1071.18 3274.22 2473.07 7543.76 60.00 0.00 0.00 0.00 0.00 0.00 10952 3580
0.28 1339.70 4091.75 2687.19 8190.06 60.00 0.00 0.00 0.00 0.00 0.00 10942 3600
0.32 1596.12 4872.02 2856.62 8713.55 60.00 0.00 0.00 0.00 0.00 0.00 10941 3560
0.36 1835.01 5600.37 2993.86 9138.46 60.00 0.00 0.00 0.00 0.00 0.00 10949 3560
0.40 2054.21 6269.01 3110.83 9482.56 60.00 0.00 0.00 0.00 0.00 0.00 10950 3600
0.44 2253.26 6874.73 3199.77 9760.67 60.00 0.00 0.00 0.00 0.00 0.00 10942 3560
0.48 2431.12 7417.59 3269.92 9986.26 60.00 0.00 0.00 0.00 0.00 0.00 10948 3559
0.52 2588.50 7899.94 3326.64 10169.19 60.00 0.00 0.00 0.00 0.00 0.00 10950 3559
0.56 2726.90 8325.31 3374.78 10314.36 60.00 0.00 0.00 0.00 0.00 0.00 10938 3580
0.60 2848.22 8697.84 3413.47 10434.85 60.00 0.00 0.00 0.00 0.00 0.00 10949 3559
0.64 2953.95 9022.83 3444.82 10532.64 60.00 0.00 0.00 0.00 0.00 0.00 10950 3560
0.68 3045.78 9305.02 3472.20 10611.36 60.00 0.00 0.00 0.00 0.00 0.00 10946 3579
0.72 3125.30 9549.00 3490.50 10675.52 60.00 0.00 0.00 0.00 0.00 0.00 10950 3559
0.76 3193.45 9759.23 3507.20 10727.38 60.00 0.00 0.00 0.00 0.00 0.00 10948 3559
0.80 3251.88 9939.74 3518.93 10768.31 60.00 0.00 0.00 0.00 0.00 0.00 10939 3559
0.84 3301.75 10094.17 3532.03 10802.11 60.00 0.00 0.00 0.00 0.00 0.00 10950 3559
0.88 3344.83 10226.06 3544.95 10829.83 60.00 0.00 0.00 0.00 0.00 0.00 10948 3600
0.92 3382.14 10338.51 3553.22 10852.67 60.00 0.00 0.00 0.00 0.00 0.00 10951 3579
0.96 3413.83 10434.18 3556.12 10870.16 60.00 0.00 0.00 0.00 0.00 0.00 10940 3559
1.00 3440.38 10515.31 3562.45 10885.15 60.00 0.00 0.00 0.00 0.00 0.00 10950 3580
1.04 3463.05 10584.05 3565.70 10896.14 60.00 0.00 0.00 0.00 0.00 0.00 10943 3580
1.08 3482.11 10642.09 3568.31 10906.18 60.00 0.00 0.00 0.00 0.00 0.00 10949 3579
1.12 3498.02 10691.21 3568.43 10914.71 60.00 0.00 0.00 0.00 0.00 0.00 10952 3559
1.16 3511.19 10732.75 3572.43 10921.41 60.00 0.00 0.00 0.00 0.00 0.00 10950 3580
1.20 3522.72 10767.78 3577.37 10926.13 60.00 0.00 0.00 0.00 0.00 0.00 10950 3579
1.24 3532.82 10797.18 3577.67 10930.24 60.00 0.00 0.00 0.00 0.00 0.00 10944 3560
1.28 3541.28 10821.83 3581.71 10932.38 60.00 0.00 0.00 0.00 0.00 0.00 10941 3580
1.32 3548.81 10842.38 3583.19 10935.65 60.00 0.00 0.00 0.00 0.00 0.00 10952 3580
1.36 3555.20 10859.69 3584.38 10937.85 60.00 0.00 0.00 0.00 0.00 0.00 10942 3580
1.40 3560.72 10874.22 3587.35 10940.36 60.00 0.00 0.00 0.00 0.00 0.00 10952 3600
1.44 3565.48 10886.50 3583.95 10942.05 60.00 0.00 0.00 0.00 0.00 0.00 10945 3560
1.48 3568.94 10896.82 3585.00 10943.47 60.00 0.00 0.00 0.00 0.00 0.00 10950 3580
1.52 3571.86 10905.39 3584.05 10942.76 60.00 0.00 0.00 0.00 0.00 0.00 10944 3580
1.56 3574.15 10912.36 3585.08 10944.32 60.00 0.00 0.00 0.00 0.00 0.00 10950 3580
1.60 3576.13 10918.31 3584.12 10945.50 60.00 0.00 0.00 0.00 0.00 0.00 10951 3580
1.64 3577.73 10923.38 3586.93 10946.73 60.00 0.00 0.00 0.00 0.00 0.00 10952 3580
1.68 3579.27 10927.68 3583.52 10946.63 60.00 0.00 0.00 0.00 0.00 0.00 10950 3559
1.72 3580.01 10931.22 3582.55 10947.47 60.00 0.00 0.00 0.00 0.00 0.00 10952 3559
1.76 3580.54 10934.21 3583.86 10947.24 60.00 0.00 0.00 0.00 0.00 0.00 10942 3580
1.80 3581.20 10936.61 3584.93 10947.15 60.00 0.00 0.00 0.00 0.00 0.00 10951 3580
1.84 3581.75 10938.58 3581.89 10947.80 60.00 0.00 0.00 0.00 0.00 0.00 10952 3559
1.88 3581.76 10940.30 3581.53 10948.22 60.00 0.00 0.00 0.00 0.00 0.00 10950 3580
1.92 3581.69 10941.79 3581.04 10948.94 60.00 0.00 0.00 0.00 0.00 0.00 10953 3560
1.96 3581.66 10943.14 3582.84 10949.42 60.00 0.00 0.00 0.00 0.00 0.00 10951 3600
2.00 3581.93 10944.24 3584.10 10948.10 60.00 0.00 0.00 0.00 0.00 0.00 10951 3580
2.04 3582.30 10944.91 3583.32 10947.25 60.00 0.00 0.00 0.00 0.00 0.00 10946 3580
2.08 3582.36 10945.36 3580.59 10947.76 60.00 0.00 0.00 0.00 0.00 0.00 10949 3559
2.12 3582.11 10945.83 3582.28 10948.39 60.00 0.00 0.00 0.00 0.00 0.00 10952 3580
2.16 3582.12 10946.31 3581.85 10948.38 60.00 0.00 0.00 0.00 0.00 0.00 10946 3580
2.20 3582.05 10946.67 3581.49 10947.88 60.00 0.00 0.00 0.00 0.00 0.00 10950 3580
2.24 3581.85 10946.89 3579.21 10947.86 60.00 0.00 0.00 0.00 0.00 0.00 10944 3560
