t   IR    R    rIR    rRED    H/B   R   IR(AC)   IR(DC)    R(AC)  R(DC)  IR(RAW)  R(RAW)
0.04 18.19 55.62 394.68 1206.53 60.00 0.00 0.00 0.00 0.00 0.00 11528 3702
0.08 116.63 358.34 1023.07 3166.96 60.00 0.00 0.00 0.00 0.00 0.00 11526 3702
0.12 307.24 949.81 1530.16 4756.62 60.00 0.00 0.00 0.00 0.00 0.00 11526 3682
0.16 551.98 1711.32 1944.61 6039.76 60.00 0.00 0.00 0.00 0.00 0.00 11510 3702
0.20 824.12 2557.79 2274.51 7078.21 60.00 0.00 0.00 0.00 0.00 0.00 11502 3662
0.24 1104.13 3430.37 2543.73 7914.69 60.00 0.00 0.00 0.00 0.00 0.00 11476 3682
0.28 1379.71 4288.69 2760.00 8586.28 60.00 0.00 0.00 0.00 0.00 0.00 11429 3682
0.32 1642.53 5106.63 2936.98 9129.43 60.00 0.00 0.00 0.00 0.00 0.00 11426 3682
0.36 1887.97 5868.81 3080.34 9562.58 60.00 0.00 0.00 0.00 0.00 0.00 11412 3682
0.40 2113.50 6567.01 3200.45 9924.86 60.00 0.00 0.00 0.00 0.00 0.00 11475 3722
0.44 2318.42 7199.71 3295.55 10210.77 60.00 0.00 0.00 0.00 0.00 0.00 11397 3682
0.48 2501.99 7766.21 3366.87 10448.59 60.00 0.00 0.00 0.00 0.00 0.00 11461 3661
0.52 2664.23 8269.75 3424.65 10635.87 60.00 0.00 0.00 0.00 0.00 0.00 11412 3661
0.56 2806.68 8712.68 3471.44 10774.41 60.00 0.00 0.00 0.00 0.00 0.00 11366 3661
0.60 2931.16 9098.63 3511.25 10894.94 60.00 0.00 0.00 0.00 0.00 0.00 11414 3662
0.64 3039.76 9434.63 3545.39 10994.43 60.00 0.00 0.00 0.00 0.00 0.00 11402 3681
0.68 3134.24 9726.18 3571.26 11076.06 60.00 0.00 0.00 0.00 0.00 0.00 11443 3682
0.72 3215.84 9978.21 3592.30 11140.80 60.00 0.00 0.00 0.00 0.00 0.00 11431 3682
0.76 3286.07 10195.02 3609.04 11190.91 60.00 0.00 0.00 0.00 0.00 0.00 11396 3661
